sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AB683605	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-214
AB683606	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-219
AB683607	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-220
AB683608	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R1, Pangasinan	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-221
AB683609	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-024
AB683610	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-055
AB683611	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-058
AB683612	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2008	2008	2008	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-104
AB683613	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2008	2008	2008	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2008/TRa-107
AB683614	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-109
AB683615	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-191
AB683616	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 2, Cagayan	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R2.PHL/2009/TRa-142
AB683617	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R3, Nueva Ecija	2005	2005	2005	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2005/Z-05-198
AB683618	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Zambales	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-018
AB683619	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Pampanga	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-038
AB683620	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Nueva Ecija	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-062
AB683621	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Pampanga	2008	2008	2008	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-088
AB683622	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Zambales	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-112
AB683623	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Nueva Ecija	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-132
AB683624	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Pampanga	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-133
AB683625	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R3, Nueva Ecija	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-201
AB683626	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R3, Nueva Ecija	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-205
AB683627	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R3, Pampanga	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2009/TRa-206
AB683628	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-222
AB683629	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Cavite	2007	2007	2007	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-189
AB683630	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Cavite	2007	2007	2007	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-243
AB683631	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Quezon	2007	2007	2007	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2007/Z-07-252
AB683632	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Albay	2008	2008	2008	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-034
AB683633	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Albay	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-067
AB683634	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Camarines Sur	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-071
AB683635	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Albay	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-072
AB683636	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Sorsogon	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-073
AB683637	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Catanduanes	2008	2008	2008	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-120
AB683638	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Albay	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-122
AB683639	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Catanduanes	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-123
AB683640	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Albay	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-183
AB683641	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-074
AB683642	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2008/TRa-079
AB683643	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Negros Oriental	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-144
AB683644	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-168
AB683645	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-173
AB683646	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-176
AB683647	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-186
AB683648	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-194
AB683649	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 10, Misamis Oriental	2009	2009	2009	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-195
AB683650	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 3, Pampanga	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R3.PHL/2008/TRa-002
AB683651	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 5, Albay	2008	2008	2008	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2008/TRa-005
AB683652	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 7, Cebu	2009	2009	2009	1124	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-179
AB698023	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 4A, Batangas	2006	2006	2006	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4B.PHL/2006/Z-06-197
AB698024	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region 4B, Oriental Mindoro	2006	2006	2006	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4B.PHL/2006/Z-06-408
AB733961	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Mountain Province	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2009/TRa-285
AB733962	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Ifgao	2010	2010	2010	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2010/TRa-289
AB733963	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	NCR, Metro Manila	2004	2004	2004	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/NCR.PHL/2004/Z-04-646
AB733964	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-256
AB733965	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-257
AB733966	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-258
AB733967	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-259
AB733968	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-260
AB733969	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-263
AB733970	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Ilocos Sur	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-265
AB733971	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Ilocos Sur	2010	2010	2010	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2010/TRa-286
AB733972	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2010	2010	2010	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2010/TRa-299
AB733973	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2010	2010	2010	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2010/TRa-300
AB733974	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region2, Isabela City	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R2.PHL/2009/TRa-279
AB733975	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region2, Isabela City	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R2.PHL/2009/TRa-283
AB733976	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region2, Isabela City	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R2.PHL/2009/TRa-284
AB733977	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Sorsogon	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-268
AB733978	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-272
AB733979	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region5, Albay	2009	2009	2009	1575	03-Apr-2013	25-Jun-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-273
AB738088	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4B, Oriental Mindoro	2006	2006	2006	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4B.PHL/2006/Z-06-203
AB738089	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	R4A, Cavite	2006	2006	2006	1124	03-Apr-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R4A.PHL/2006/Z-06-222
AB771910	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	CAR, Kalinga Apayao	2010	2010	2010	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/CAR.PHL/2010/TRa-291
AB771911	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 1,Pangasinan	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-262
AB771912	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 1,Pangasinan	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-266
AB771913	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 1,Pangasinan	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-267
AB771914	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 1, Ilocos Sur	2010	2010	2010	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2010/TRa-287
AB771915	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 1,Pangasinan	2010	2010	2010	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2010/TRa-298
AB771916	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 5, Catanduanes	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-269
AB771917	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 5, Camarines Norte	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R5.PHL/2009/TRa-271
AB771918	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 10, Misamis Orientale	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-194
AB771919	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 10, Misamis Orientale	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-195
AB771920	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Regoin 10, Misamis Orientale	2009	2009	2009	698	29-May-2013	29-May-2013	Canis lupus familiaris	23593515	RV/R10.PHL/2009/TRa-247
AB838709	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region1, Pangasinan	2009	2009	2009	1575	19-Jul-2013	19-Jul-2013	Canis lupus familiaris	23593515	RV/R1.PHL/2009/TRa-156
AB838710	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	Region7, Cebu	2009	2009	2009	1575	19-Jul-2013	19-Jul-2013	Canis lupus familiaris	23593515	RV/R7.PHL/2009/TRa-179
DQ275546	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	951	10-Dec-2005	25-Jul-2016	Felis catus	-	V1371PHIL
DQ275547	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	950	10-Dec-2005	25-Jul-2016	Canis familiaris	-	V1374PHIL
DQ275548	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	937	10-Dec-2005	25-Jul-2016	Canis familiaris	-	V1375PHIL
DQ275549	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	589	10-Dec-2005	25-Jul-2016	Canis familiaris	17869366	V1373PHIL
DQ275550	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	894	10-Dec-2005	25-Jul-2016	Felis catus	-	V1372PHIL
EU086155	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	1575	30-Aug-2008	05-Jul-2011	Homo sapiens	18931062	04030PHI
EU086200	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	1353	30-Aug-2008	20-Oct-2008	Canis familiaris	18931062	94270PHI
EU086201	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	1353	30-Aug-2008	20-Oct-2008	Canis familiaris	18931062	94273PHI
EU086202	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	1353	30-Aug-2008	20-Oct-2008	Canis familiaris	18931062	94280PHI
EU086203	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2000	2000	2000	1353	30-Aug-2008	20-Oct-2008	Homo sapiens	18931062	03006PHI
EU086204	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2001	2001	2001	1353	30-Aug-2008	20-Oct-2008	Homo sapiens	18931062	03007PHI
EU086205	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	1353	30-Aug-2008	20-Oct-2008	Homo sapiens	18931062	04030PHI
KC792091	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2009	2009	2009	1572	17-Jun-2013	17-Jun-2013	Canis familiaris	-	A12_1952
KC792092	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2009	2009	2009	1572	17-Jun-2013	17-Jun-2013	Canis familiaris	-	A12_1959
KC792093	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2009	2009	2009	1572	17-Jun-2013	17-Jun-2013	Canis familiaris	-	A12_1964
KC792094	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2009	2009	2009	1572	17-Jun-2013	17-Jun-2013	Canis familiaris	-	A12_1969
KC792095	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2009	2009	2009	1572	17-Jun-2013	17-Jun-2013	Canis familiaris	-	A12_1973
KC792096	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2009	2009	2009	1572	17-Jun-2013	17-Jun-2013	Canis familiaris	-	A12_1977
KC792097	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2009	2009	2009	1572	17-Jun-2013	17-Jun-2013	Canis familiaris	-	A12_1978
KC792240	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	-	-	2013	1179	17-Jun-2013	17-Jun-2013	Canis familiaris	-	Philippin_dog
KU055513	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2000	2000	2000	211	14-Jul-2016	14-Jul-2016	Canis familiaris	27380028	03006PHI
KU055514	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2001	2001	2001	211	14-Jul-2016	14-Jul-2016	Canis familiaris	27380028	03007PHI
KU055569	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	211	14-Jul-2016	14-Jul-2016	Canis familiaris	27380028	94270PHI
KU055570	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	211	14-Jul-2016	14-Jul-2016	Canis familiaris	27380028	94273PHI
KU055571	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	211	14-Jul-2016	14-Jul-2016	Canis familiaris	27380028	94280PHI
KX148259	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	11803	28-Nov-2016	28-Nov-2016	Canis familiaris	-	94272PHI
KX148260	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	2004	2004	2004	11804	28-Nov-2016	28-Nov-2016	Canis familiaris	-	04030PHI
KX148261	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	11800	28-Nov-2016	28-Nov-2016	Canis familiaris	-	94281PHI
KX148262	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	11800	28-Nov-2016	28-Nov-2016	Canis familiaris	-	94278PHI
KX148263	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	-	1994	1994	1994	11800	28-Nov-2016	28-Nov-2016	Canis familiaris	-	94275PHI
LC018482	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Tarlac	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-302
LC018483	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-303
LC018484	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Pampanga	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-305
LC018485	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Nueva Ecija	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-306
LC018486	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Tarlac	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-307
LC018487	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-308
LC018488	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Tarlac	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-309
LC018489	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-310
LC018490	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-311
LC018491	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Nueva Ecija	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-312
LC018492	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-313
LC018493	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Tarlac	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-314
LC018494	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-315
LC018495	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-317
LC018496	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	III, Bulacan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R3.PHL/2012/TRa-318
LC018497	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	I, Pangasinan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R1.PHL/2012/TRa-320
LC018498	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	I, Pangasinan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R1.PHL/2012/TRa-323
LC018499	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	I, Pangasinan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R1.PHL/2012/TRa-324
LC018500	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	I, Pangasinan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R1.PHL/2012/TRa-325
LC018501	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	I, Pangasinan	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R1.PHL/2012/TRa-327
LC018502	AL_Asian_SEA4	Asian SEA4	PHL	Philippines	V, Camarines Sur	2012	2012	2012	1575	22-Dec-2015	22-Dec-2015	Canis lupus familiaris	26656835	RV/R5.PHL/2012/TRa-337
